,term
0,Emin Pasha Relief Expedition
1,Bayard Johnson
2,Sarah-Jane Mee
3,2007 FIA GT Championship
4,"William Clavering-Cowper, 2nd Earl Cowper"
5,"Royal Hotel, Maryborough"
6,David Conte
7,William Lang (British athlete)
8,Michael Pinsky
9,Kuala Lumpur International Airport ERL station
10,Robin Skynner
11,"Solar eclipse of October 23, 2014"
12,American Educational Research Association
13,Cat and Mouse in Partnership
14,"Torbay, Newfoundland and Labrador"
15,Geoffroi de Charney
16,"Church of St Michael, Blackford"
17,Gregory Prince
18,Maniraptora
19,Torpids
20,Expedition Robinson 2001
21,Membrane
22,Gayle Barron
23,Ohau railway station
24,"Mathur, Krishnagiri"
25,Parrot Cay
26,D-flat major
27,François Kamano
28,DCU Saints (basketball)
29,Jon Ungphakorn
30,American International School System
31,List of Pixar staff
32,Big Baldy Mountain (Montana)
33,Hrvatsko slovo
34,2014–2016 world oil market chronology
35,Nanmu
36,Coupe de France Lord Derby
37,Price Rite
38,Joyce Piven
39,Soul to Preach To
40,Azerbaijan–Georgia–Romania Interconnector
41,Thandikulam–Omanthai offensive
42,Hāsalpur inscription of Nāgavarman
43,Kasym Khan
44,Steve Lombardi
45,Rafael Lima (footballer)
46,Morgan 32
47,Te Atahoe
48,November 1936
49,Space Training and Readiness Command
50,DeKalb Avenue station (BMT lines)
51,Exercise Northern Edge
52,Falling in Reverse discography
53,Crane-Phillips House
54,Resource monotonicity
55,El Bingo – A Collection of Latin American Favorites
56,Arm River-Watrous
57,April 1935
58,Shane Hart
59,Karl Brunner (SS general)
60,Giorgio Blais
61,Boran languages
62,Randy Turner
63,Leonora (singer)
64,Pine Gap
65,Standaard Uitgeverij
66,Black Ven
67,Implosion: Never Lose Hope
68,Baoding
69,Hamburg Parliament
70,Jacques Heim (choreographer)
71,Baselios Paulose II
72,Gottlieb Göttlich
73,Bruce Arnott
74,Paweł Wiesiołek
75,2011 United States House of Representatives elections
76,Murder Cove
77,Kazuki Nakajima
78,Florin Cîțu
79,Institute for Market-oriented Management
80,Address Point
81,"Rumsey, California"
82,John Rogers Herbert
83,Acraea oreas
84,Daniel O'Keefe (writer)
85,Haidarzadeh House
86,James Clayborne Jr.
87,Boundary problem (spatial analysis)
